,camera_id,hashtag_name,hashtag_count,hashtag_increase
0,1,RX100M6,10802,479
1,2,XF10,28226,387
2,3,P1000,6612,159
3,4,RX100M3,169616,415
4,5,SX620HS,1051,16
5,6,G7XMarkII,58323,791
6,7,TG5,55310,1067
7,8,SX720HS,11880,80
8,9,FZ85,1704,28
9,10,RX100,321905,2766
10,11,A900,13065,88
11,12,TZ85,3984,30
12,13,X100F,403472,6504
13,14,TX1,6699,108
14,15,RX100M5A,3519,77
15,16,RX10M4,16891,438
16,17,G9XMarkII,664,1
17,18,SX730HS,2994,-10
18,19,WX500,8125,87
19,20,SX740HS,263,17
20,21,W300,3467,58
21,22,P900,75322,236
22,23,B500,14639,267
23,24,W100,11291,83
24,25,A10,99054,567
25,26,GRII,31360,400
26,27,WX350,3180,18
27,28,A100,29672,119
28,29,RX0,17601,160
29,30,TZ90,2505,56
30,31,HX90V,14355,109
31,32,FZ300,17244,236
32,33,WG50,182,5
33,34,IXY650,440,18
34,35,TX2,4842,19
35,36,XP130,458,10
36,37,IXY200,33,-1
37,38,RX100M4,61292,153
38,39,HIGHSPEEDEXZR70,0,0
39,40,IXY210,65,0
40,41,LEICACLUX,2303,99
41,42,SX60HS,27498,101
42,43,W830,339,3
43,44,THETASC,6732,90
44,45,HIGHSPEEDEXZR1700,0,0
45,46,LX9,1946,13
46,47,SX530HS,12855,93
47,48,G1XMarkIII,1368,13
48,49,XP120,876,2
49,50,SX420IS,5512,14
50,51,HIGHSPEEDEXZR3100,0,0
51,52,RX10M3,17869,141
52,53,RX1RM2,10755,66
53,54,SX430IS,1253,55
54,55,EXZS260,0,0
55,56,G5X,18433,82
56,57,HIGHSPEEDEXZR1800,0,0
57,58,TG5工一郎,0,0
58,59,RX100M5,60665,610
59,60,LX100M2,879,57
60,61,HX400V,19145,177
61,62,HX60V,3335,23
62,63,G800,21916,290
63,64,IXY180,16,0
64,65,G3X,13832,36
65,66,FZH1,916,1
66,67,LEICAQTyp116,0,-36980
67,68,THETAV,18666,262
68,69,G1XMarkII,3575,8
69,70,RX100M2,39999,94
70,71,WG40W,27,-1
