id,name,price,pixel,min_iso,max_iso,continuous_shooting_performance,shutter_speed,monitor_size,monitor_pixel,shooting_num,four_k,wifi,touch_panel,move_panel,weight,width,height,depth,frame_id,maker_id,finder_id,f_value_wide,shooting_num_with_finder,bluetooth,zoom,min_focus,max_focus,selfie,waterproof,gps,nearest_shot,anti_shake,five_axis_anti_shake,nearest_shot_with_macro_mode,f_value_tele,super_wide,open_year,open_month,camera_type_id
0,サイバーショット DSC-RX100M6,130239,2010,125,2560,24,30〜1/32000 秒,3,92.1,240,True,True,True,チルト液晶,301,101.6,58.1,42.8,5,1,1,2.8,,,8,24,200,True,,False,8,光学式,,,4.5,False,2018,6,1
1,FUJIFILM XF10,45380,2424,200,5120,,4〜1/16000 秒,3,104,330,True,True,True,,279,112.5,64.4,41,3,2,2,2.8,,○,,28,28,False,,False,10,,,,2.8,False,2018,8,1
2,COOLPIX P1000,118526,1605,100,6400,120,1〜1/4000 秒,3.2,92,250,True,True,False,バリアングル液晶,1415,146.3,118.8,181.3,6,3,3,2.8,,○,125,24,3000,True,,False,30,レンズシフト方式,,1,8,False,2018,9,1
3,サイバーショット DSC-RX100M3,57000,2010,125,2560,10,1〜1/2000 秒,3,122.8,320,False,True,False,チルト液晶,290,101.6,58.1,41,5,1,4,1.8,,,3,24,70,True,,False,5,光学式,,,2.8,False,2014,5,1
4,PowerShot SX620 HS,17290,2020,80,3200,7.1,1〜1/2000 秒,3,92.2,295,False,True,False,,182,96.9,56.9,27.9,6,4,2,3.2,,,25,25,625,False,,False,1,光学式,,1,6.6,False,2016,5,1
5,PowerShot G7 X Mark II,53280,2010,125,12800,8,1〜1/2000 秒,3,104,265,False,True,True,チルト液晶,319,105.5,60.9,42.2,5,4,2,1.8,,,4,24,100,True,,False,5,光学式,,5,2.8,False,2016,4,1
6,OLYMPUS Tough TG-5,44949,1200,100,12800,,1/2〜1/2000 秒,3,46,340,True,True,False,,250,113,66,31.9,6,5,2,2,,,4,25,100,False,15 m,True,10,CMOSシフト方式,,1,4.9,False,2017,6,1
7,PowerShot SX720 HS,24199,2030,80,3200,5.9,1〜1/3200 秒,3,92.2,250,False,True,False,,270,109.7,63.8,35.7,6,4,2,3.3,,,40,24,960,False,,False,1,光学式,,1,6.9,False,2016,3,1
8,LUMIX DC-FZ85,33690,1810,80,640,10,4〜1/16000 秒,3,104,330,True,True,True,,616,130.2,94.3,119.2,6,6,6,2.8,,,60,20,1200,False,,False,30,光学式,,1,5.9,False,2017,3,1
9,サイバーショット DSC-RX100,36480,2020,125,2560,10,1〜1/2000 秒,3,122.9,330,False,False,False,,240,101.6,58.1,35.9,5,1,2,1.8,,,4,28,100,False,,False,5,光学式,,,4.9,False,2012,6,1
10,COOLPIX A900,26999,2029,80,3200,120,1〜1/2000 秒,3,92,270,True,True,False,チルト液晶,299,113,66.5,39.9,6,3,2,3.4,,○,35,24,840,True,,False,50,レンズシフト方式/電子式,,1,6.9,False,2016,10,1
11,LUMIX DMC-TZ85,24800,1810,80,640,40,4〜1/16000 秒,3,104,320,True,True,True,,282,112,64,38,6,6,8,3.3,,,30,24,720,False,,False,50,光学式,,3,6.4,False,2016,2,1
12,FUJIFILM X100F,100388,2430,200,5120,8,～1/32000 秒,3,104,280,False,True,False,,469,126.5,74.8,52.4,3,2,7,2,,,,35,35,False,,False,10,,,,2,False,2017,2,1
