,type,created_at,updated_at
0,電子式ビューファインダー(235.92万ドット),,
1,無し,,
2,0.39型電子ビューファインダー(236万ドット),,
3,電子式ビューファインダー（144万ドット）,,
4,電子式ビューファインダー(235万ドット),,
5,0.2型フィールドシーケンシャル方式(117万ドット),,
6,ハイブリッドビューファインダー,,
7,0.2型フィールドシーケンシャル方式(116万ドット),,
8,0.2型電子ビューファインダー（92万ドット）,,
9,0.21型フィールドシーケンシャル方式(233万ドット),,
10,電子式ビューファインダー（63.84万ドット）,,
11,0.39型有機ELライブビューファインダー(144万ドット),,
12,電子ビューファインダー(233万ドット),,
13,液晶ビューファインダー（92.2万ドット),,
14,電子ビューファインダー(236万ドット),,
15,電子式ビューファインダー（235.92万ドット）,,
16,電子式ビューファインダー（20.1万ドット）,,
17,0.38型フィールドシーケンシャル方式(276万ドット),,
18,0.39型有機ELライブビューファインダー(236万ドット),,
19,電子ビューファインダー(368万ドット),,
20,電子ビューファインダー(276.4万ドット),,
21,0.2型電子ビューファインダー(92万ドット),,
22,ビューファインダー,,
23,0.39型有機ELファインダー(236万ドット),,
24,LCDビューファインダー,,
25,カラー電子ビューファインダー,,
26,電子ビューファインダー XGA OLED Tru-Finder,,
27,有機ELカラー電子ビューファインダー,,
28,有機EL(OLED)LVF,,
29,有機EL電子ビューファインダー,,
30,電子ビューファインダー OLED Tru-Finder,,
31,電子ビューファインダー Quad-VGA OLED Tru-Finder,,
32,アイレベル式OLEDビューファインダー,,
33,LVF,,
34,アドバンストハイブリッドマルチビューファインダー,,
35,Quad-VGA OLED,,
36,アイレベル式液晶ビューファインダー,,
37,アイレベル式電子ビューファインダー,,
38,電子ビューファインダー,,
39,EyeResファインダー,,
40,ハイブリッドマルチビューファインダー,,
41,XGA電子ビューファインダー,,
42,ペンタプリズム,,
43,ペンタミラー,,
44,ペンタダハミラー,,
45,トラピゾイドプリズム,,
